zipcode,district,location,age,m2,rooms,energie,rent
20146,Harvestehude,gut,1929,137,5,G,11.34
20146,Harvestehude,gut,1959,221,6,F,14.64
20146,Harvestehude,gut,1947,175,6,G,12.82
20146,Harvestehude,gut,1911,61,3,G,12.85
20146,Harvestehude,gut,1981,58,2,D,12.0
20146,Harvestehude,gut,1946,167,6,G,10.43
20146,Harvestehude,gut,1927,111,4,G,13.23
20146,Harvestehude,gut,2015,154,5,B,15.1
20146,Harvestehude,gut,2011,76,3,B,11.87
20146,Harvestehude,gut,2004,90,4,C,12.4
20146,Harvestehude,gut,2021,93,4,A,13.91
20146,Harvestehude,gut,1919,129,5,G,9.93
20146,Harvestehude,gut,2016,56,2,A,16.58
20146,Harvestehude,gut,1960,217,6,F,14.13
20146,Harvestehude,gut,1981,79,3,D,10.76
20146,Harvestehude,gut,1921,197,6,G,12.6
20146,Harvestehude,gut,1984,126,5,D,13.86
20146,Harvestehude,gut,1979,186,6,D,8.56
20146,Harvestehude,gut,2018,124,4,A,16.82
20146,Harvestehude,gut,1968,23,1,E,14.96
20146,Harvestehude,gut,1984,174,6,D,8.23
20146,Harvestehude,gut,1924,89,4,G,9.34
20146,Harvestehude,gut,1995,183,6,C,14.02
20146,Harvestehude,gut,1964,65,3,F,11.41
20146,Harvestehude,gut,1966,37,1,E,10.72
20146,Harvestehude,gut,1924,45,2,G,9.45
20146,Harvestehude,gut,1919,53,2,G,12.19
20146,Harvestehude,gut,1974,157,5,D,11.55
20146,Harvestehude,gut,1964,132,5,F,10.11
20146,Harvestehude,gut,2009,46,2,C,12.24
20146,Harvestehude,gut,1982,65,3,D,10.36
20146,Harvestehude,gut,1919,216,6,G,13.33
20146,Harvestehude,gut,2010,215,6,B,12.05
20146,Harvestehude,gut,1941,198,6,G,11.48
20148,Harvestehude,gut,1918,201,6,G,9.9
20148,Harvestehude,gut,1979,76,3,D,9.54
20148,Harvestehude,gut,1939,219,6,G,12.34
20148,Harvestehude,gut,2013,23,1,B,12.11
20148,Harvestehude,gut,1930,20,1,G,12.1
20148,Harvestehude,gut,1969,114,4,E,11.46
20148,Harvestehude,gut,1956,74,3,F,8.38
20148,Harvestehude,gut,1984,71,3,D,9.69
20148,Harvestehude,gut,1983,204,6,D,9.24
20148,Harvestehude,gut,1925,208,6,G,11.1
20148,Harvestehude,gut,1926,95,4,G,10.24
20148,Harvestehude,gut,2010,140,5,B,15.56
20148,Harvestehude,gut,1914,139,5,G,14.26
20148,Harvestehude,gut,1922,185,6,G,13.6
20148,Harvestehude,gut,1983,75,3,D,9.52
20148,Harvestehude,gut,1938,211,6,G,11.06
20148,Harvestehude,gut,1958,156,5,F,14.14
20148,Harvestehude,gut,1929,179,6,G,10.85
20148,Harvestehude,gut,1929,60,3,G,10.13
20148,Harvestehude,gut,1931,127,5,G,11.73
20148,Harvestehude,gut,1910,206,6,G,14.06
20148,Harvestehude,gut,1995,122,4,C,11.83
20148,Harvestehude,gut,1962,170,6,F,13.7
20148,Harvestehude,gut,2002,192,6,C,15.56
20148,Harvestehude,gut,1990,23,1,D,11.67
20148,Harvestehude,gut,1940,183,6,G,12.08
20148,Harvestehude,gut,2003,218,6,C,14.86
20148,Harvestehude,gut,1959,140,5,F,13.15
20148,Harvestehude,gut,1988,84,3,D,8.74
20148,Harvestehude,gut,2019,15,1,A,16.46
20148,Harvestehude,gut,1953,15,1,G,9.43
20148,Harvestehude,gut,2011,185,6,B,16.21
20148,Harvestehude,gut,1973,196,6,D,12.14
20148,Harvestehude,gut,1976,54,2,D,9.69
20148,Harvestehude,gut,1998,196,6,C,12.14
20148,Harvestehude,gut,1925,81,3,G,13.32
20148,Harvestehude,gut,2021,42,2,A,17.04
20148,Harvestehude,gut,2017,71,3,A,15.71
20148,Harvestehude,gut,1972,35,1,E,9.08
20148,Harvestehude,gut,1969,25,1,E,8.64
20148,Harvestehude,gut,1925,179,6,G,12.14
20148,Harvestehude,gut,1968,127,5,E,12.58
20148,Harvestehude,gut,1912,147,5,G,12.73
20148,Harvestehude,gut,1933,195,6,G,10.89
20148,Harvestehude,gut,1963,112,4,F,9.65
20148,Harvestehude,gut,1931,17,1,G,12.47
20148,Harvestehude,gut,2005,164,6,C,13.92
20148,Harvestehude,gut,1921,33,1,G,9.38
20148,Harvestehude,gut,1989,118,4,D,13.6
20148,Harvestehude,gut,1948,48,2,G,10.29
20148,Harvestehude,gut,1928,24,1,G,10.18
20148,Harvestehude,gut,1994,143,5,C,12.7
20148,Harvestehude,gut,1950,28,1,G,12.61
20148,Harvestehude,gut,2008,32,1,C,14.43
20148,Harvestehude,gut,1916,53,2,G,12.43
20148,Harvestehude,gut,2019,72,3,A,12.32
20148,Harvestehude,gut,2000,94,4,C,13.73
20148,Harvestehude,gut,1911,29,1,G,14.75
20148,Harvestehude,gut,1943,138,5,G,12.23
20148,Harvestehude,gut,1944,80,3,G,12.88
20148,Harvestehude,gut,2003,167,6,C,11.55
20148,Harvestehude,gut,1972,133,5,E,12.09
20148,Harvestehude,gut,1964,135,5,F,10.46
20148,Harvestehude,gut,2017,21,1,A,18.04
20148,Harvestehude,gut,1995,191,6,C,11.66
20148,Harvestehude,gut,2020,148,5,A,15.15
20148,Harvestehude,gut,1922,18,1,G,9.9
20148,Harvestehude,gut,1925,44,2,G,9.92
20148,Harvestehude,gut,1981,94,4,D,11.19
20148,Harvestehude,gut,1956,154,5,F,14.2
20148,Harvestehude,gut,1941,163,6,G,11.0
20148,Harvestehude,gut,1979,150,5,D,11.62
20148,Harvestehude,gut,1920,33,1,G,10.27
20148,Harvestehude,gut,2006,162,6,C,12.74
20148,Harvestehude,gut,2000,203,6,C,14.44
20148,Harvestehude,gut,1966,137,5,E,9.95
20148,Harvestehude,gut,1930,81,3,G,11.35
20148,Harvestehude,gut,1945,154,5,G,12.93
20148,Harvestehude,gut,1916,193,6,G,9.29
20148,Harvestehude,gut,1986,113,4,D,14.04
20148,Harvestehude,gut,1948,161,6,G,12.74
20148,Harvestehude,gut,1995,178,6,C,14.57
20148,Harvestehude,gut,1929,119,4,G,9.87
20148,Harvestehude,gut,2009,198,6,C,13.56
20148,Harvestehude,gut,1954,188,6,G,13.44
20148,Harvestehude,gut,2003,85,3,C,11.15
20148,Harvestehude,gut,2022,130,5,A,17.04
20148,Harvestehude,gut,1912,119,4,G,12.29
20148,Harvestehude,gut,1994,120,4,C,11.62
20148,Harvestehude,gut,2001,84,3,C,10.11
20148,Harvestehude,gut,1952,41,2,G,9.1
20148,Harvestehude,gut,1997,108,4,C,15.62
20148,Harvestehude,gut,1917,218,6,G,9.99
20148,Harvestehude,gut,1913,102,4,G,12.34
20148,Harvestehude,gut,1956,185,6,F,13.19
20148,Harvestehude,gut,1920,109,4,G,12.76
20148,Harvestehude,gut,1965,183,6,F,9.78
20148,Harvestehude,gut,1962,152,5,F,10.31
20148,Harvestehude,gut,1990,21,1,D,14.95
20148,Harvestehude,gut,2011,198,6,B,15.03
20148,Harvestehude,gut,1980,197,6,D,10.19
20148,Harvestehude,gut,1985,66,3,D,8.27
20148,Harvestehude,gut,1993,63,3,C,11.8
20148,Harvestehude,gut,1971,28,1,E,11.34
20148,Harvestehude,gut,2015,167,6,B,19.05
20148,Harvestehude,gut,1997,171,6,C,15.55
20148,Harvestehude,gut,1930,48,2,G,10.47
20148,Harvestehude,gut,1973,95,4,D,11.24
20148,Harvestehude,gut,1961,67,3,F,7.77
20148,Harvestehude,gut,1953,175,6,G,14.17
20148,Harvestehude,gut,2012,178,6,B,14.99
20148,Harvestehude,gut,1963,196,6,F,9.75
20148,Harvestehude,gut,1995,163,6,C,14.6
20148,Harvestehude,gut,1926,88,4,G,9.37
20149,Rotherbaum,gut,2018,111,4,A,13.4
20149,Rotherbaum,gut,1934,192,6,G,10.57
20149,Rotherbaum,gut,1943,87,3,G,9.47
20149,Rotherbaum,gut,1929,30,1,G,11.29
20149,Rotherbaum,gut,2000,165,6,C,13.75
20149,Rotherbaum,gut,1946,165,6,G,10.51
20149,Rotherbaum,gut,1985,112,4,D,10.39
20149,Rotherbaum,gut,2020,179,6,A,16.58
20149,Rotherbaum,gut,1962,85,3,F,9.17
20149,Rotherbaum,gut,1961,63,3,F,7.56
20149,Rotherbaum,gut,1934,35,1,G,10.32
20149,Rotherbaum,gut,1932,191,6,G,12.67
20149,Rotherbaum,gut,1936,173,6,G,12.58
20149,Rotherbaum,gut,1966,96,4,E,10.19
20149,Rotherbaum,gut,1956,39,1,F,12.96
20149,Rotherbaum,gut,2000,181,6,C,15.87
20149,Rotherbaum,gut,1917,86,3,G,9.58
20149,Rotherbaum,gut,1965,154,5,F,10.66
20149,Rotherbaum,gut,2006,178,6,C,14.37
20149,Rotherbaum,gut,1993,47,2,C,8.72
20149,Rotherbaum,gut,2006,212,6,C,11.75
20149,Rotherbaum,gut,1964,25,1,F,13.86
20149,Rotherbaum,gut,1976,68,3,D,7.98
20149,Rotherbaum,gut,1933,144,5,G,12.0
20149,Rotherbaum,gut,2015,62,3,B,13.91
20149,Rotherbaum,gut,2011,30,1,B,14.69
20149,Rotherbaum,gut,1981,138,5,D,14.42
20149,Rotherbaum,gut,1936,195,6,G,11.03
20149,Rotherbaum,gut,1962,45,2,F,11.33
20149,Rotherbaum,gut,1982,112,4,D,10.83
20149,Rotherbaum,gut,1997,81,3,C,11.51
20149,Rotherbaum,gut,1992,97,4,D,9.59
20149,Rotherbaum,gut,1913,131,5,G,12.98
20149,Rotherbaum,gut,1990,128,5,D,10.27
20149,Rotherbaum,gut,1940,203,6,G,10.89
20149,Rotherbaum,gut,1964,22,1,F,11.07
20149,Rotherbaum,gut,1996,165,6,C,12.81
20149,Rotherbaum,gut,1919,154,5,G,12.47
20149,Rotherbaum,gut,1960,87,3,F,11.78
20149,Rotherbaum,gut,1956,135,5,F,14.44
20149,Rotherbaum,gut,1968,185,6,E,10.21
20149,Rotherbaum,gut,1973,83,3,D,8.18
20149,Rotherbaum,gut,1970,190,6,E,10.84
20149,Rotherbaum,gut,1968,31,1,E,14.38
20149,Rotherbaum,gut,1982,129,5,D,11.54
20149,Rotherbaum,gut,1944,63,3,G,12.23
20149,Rotherbaum,gut,1961,124,4,F,11.95
20149,Rotherbaum,gut,1912,135,5,G,12.9
20149,Rotherbaum,gut,1911,158,5,G,13.93
20149,Rotherbaum,gut,1939,107,4,G,10.37
20149,Rotherbaum,gut,1928,154,5,G,12.38
20149,Rotherbaum,gut,1935,210,6,G,12.51
20149,Rotherbaum,gut,1938,204,6,G,10.45
20149,Rotherbaum,gut,2001,102,4,C,11.7
20149,Rotherbaum,gut,1965,70,3,F,6.96
20149,Rotherbaum,gut,1948,194,6,G,13.23
20149,Rotherbaum,gut,2005,167,6,C,12.23
20149,Rotherbaum,gut,1943,197,6,G,11.38
20149,Rotherbaum,gut,1916,103,4,G,10.5
20149,Rotherbaum,gut,1971,99,4,E,9.66
20149,Rotherbaum,gut,1981,36,1,D,15.45
20149,Rotherbaum,gut,2003,185,6,C,14.75
20149,Rotherbaum,gut,1923,169,6,G,13.92
20149,Rotherbaum,gut,1918,208,6,G,12.96
20149,Rotherbaum,gut,1920,91,4,G,11.75
20149,Rotherbaum,gut,1997,69,3,C,12.12
20149,Rotherbaum,gut,2008,107,4,C,12.0
20149,Rotherbaum,gut,1958,125,5,F,11.36
20149,Rotherbaum,gut,2007,150,5,C,12.27
20149,Rotherbaum,gut,1979,220,6,D,8.72
20149,Rotherbaum,gut,1932,38,1,G,9.54
20149,Rotherbaum,gut,1933,178,6,G,11.49
20149,Rotherbaum,gut,1918,207,6,G,10.41
20149,Rotherbaum,gut,1923,215,6,G,10.87
20149,Rotherbaum,gut,1913,213,6,G,12.46
20149,Rotherbaum,gut,1960,210,6,F,14.42
20149,Rotherbaum,gut,1965,205,6,F,11.53
20149,Rotherbaum,gut,1918,34,1,G,10.36
20149,Rotherbaum,gut,1963,70,3,F,8.12
20149,Rotherbaum,gut,1995,46,2,C,11.89
20149,Rotherbaum,gut,1938,158,5,G,10.6
20149,Rotherbaum,gut,1985,48,2,D,8.18
20149,Rotherbaum,gut,1991,207,6,D,9.1
20149,Rotherbaum,gut,1998,17,1,C,10.72
20149,Rotherbaum,gut,2008,142,5,C,12.15
20149,Rotherbaum,gut,1914,114,4,G,13.04
20149,Rotherbaum,gut,1962,157,5,F,13.96
20149,Rotherbaum,gut,1937,115,4,G,11.17
20149,Rotherbaum,gut,1946,100,4,G,13.48
20149,Rotherbaum,gut,1912,85,3,G,14.51
20149,Rotherbaum,gut,1953,89,4,G,11.72
20149,Rotherbaum,gut,2023,215,6,A,16.37
20149,Rotherbaum,gut,1954,20,1,G,8.73
20149,Rotherbaum,gut,1938,73,3,G,12.71
20149,Rotherbaum,gut,1976,34,1,D,13.34
20149,Rotherbaum,gut,1953,147,5,G,13.56
20149,Rotherbaum,gut,1943,46,2,G,11.05
20149,Rotherbaum,gut,2000,171,6,C,13.81
20149,Rotherbaum,gut,2009,37,1,C,9.26
20149,Rotherbaum,gut,1943,66,3,G,10.41
20149,Rotherbaum,gut,1934,207,6,G,12.02
20149,Rotherbaum,gut,1927,46,2,G,11.83
20149,Rotherbaum,gut,1985,85,3,D,9.8
20149,Rotherbaum,gut,1959,166,6,F,13.0
20149,Rotherbaum,gut,1923,178,6,G,11.54
20149,Rotherbaum,gut,1964,181,6,F,12.81
20149,Rotherbaum,gut,1917,16,1,G,14.75
20149,Rotherbaum,gut,1940,193,6,G,13.86
20149,Rotherbaum,gut,1967,84,3,E,11.64
20149,Rotherbaum,gut,1938,165,6,G,12.99
20149,Rotherbaum,gut,1989,86,3,D,10.52
20149,Rotherbaum,gut,2016,58,2,A,16.64
20149,Rotherbaum,gut,1961,146,5,F,12.17
20149,Rotherbaum,gut,1995,65,3,C,11.02
20149,Rotherbaum,gut,2011,60,3,B,15.08
20149,Rotherbaum,gut,1916,68,3,G,12.12
20149,Rotherbaum,gut,1991,172,6,D,11.06
20149,Rotherbaum,gut,1953,158,5,G,13.86
20149,Rotherbaum,gut,1963,152,5,F,10.19
20149,Rotherbaum,gut,2023,20,1,A,18.82
20149,Rotherbaum,gut,1915,143,5,G,11.76
20149,Rotherbaum,gut,2022,152,5,A,20.6
20149,Rotherbaum,gut,1931,59,3,G,9.42
20149,Rotherbaum,gut,1937,220,6,G,10.23
20149,Rotherbaum,gut,1933,125,5,G,12.47
20149,Rotherbaum,gut,1990,108,4,D,10.67
20149,Rotherbaum,gut,1986,61,3,D,11.12
20149,Rotherbaum,gut,1919,82,3,G,10.59
20149,Rotherbaum,gut,1955,126,5,G,12.84
20149,Rotherbaum,gut,1962,215,6,F,10.69
20149,Rotherbaum,gut,2021,54,2,A,11.96
20249,Eppendorf,gut,1928,131,5,G,13.34
20249,Eppendorf,gut,1911,36,1,G,12.9
20249,Eppendorf,gut,1951,100,4,G,10.53
20249,Eppendorf,gut,1943,49,2,G,9.56
20249,Eppendorf,gut,1971,76,3,E,9.3
20249,Eppendorf,gut,1912,208,6,G,10.29
20249,Eppendorf,gut,1924,178,6,G,13.63
20249,Eppendorf,gut,1981,116,4,D,11.29
20249,Eppendorf,gut,2010,104,4,B,11.12
20249,Eppendorf,gut,2004,109,4,C,12.53
20249,Eppendorf,gut,1917,58,2,G,10.04
20249,Eppendorf,gut,2002,141,5,C,12.85
20249,Eppendorf,gut,1916,113,4,G,14.09
20249,Eppendorf,gut,1996,70,3,C,14.02
20249,Eppendorf,gut,1991,27,1,D,15.65
20249,Eppendorf,gut,1970,138,5,E,12.58
20249,Eppendorf,gut,1918,15,1,G,11.45
20249,Eppendorf,gut,1911,178,6,G,9.33
20249,Eppendorf,gut,1940,199,6,G,12.01
20249,Eppendorf,gut,1953,68,3,G,12.34
20249,Eppendorf,gut,1928,149,5,G,12.52
20249,Eppendorf,gut,2006,133,5,C,11.64
20249,Eppendorf,gut,1934,35,1,G,12.71
20249,Eppendorf,gut,1925,24,1,G,9.28
20249,Eppendorf,gut,2015,201,6,B,18.93
20249,Eppendorf,gut,1962,38,1,F,13.96
20249,Eppendorf,gut,1965,44,2,F,8.14
20249,Eppendorf,gut,2003,50,2,C,10.46
